2020-07-16 12:29:09.634 [Test worker] INFO  C.G.P.ForgotPasswordRepositoryTest: Starting ForgotPasswordRepositoryTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:13.277 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:29:13.282 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:29:13.283 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:29:13.303 [Test worker] INFO  C.G.C.InstructorCourseControllerTest: Starting InstructorCourseControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:13.303 [Test worker] INFO  C.G.C.InstructorCourseControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:13.683 [Test worker] INFO  C.G.C.InstructorCourseControllerTest: Started InstructorCourseControllerTest in 0.392 seconds (JVM running for 5.738)
2020-07-16 12:29:13.688 [Test worker] INFO  C.G.C.InstructorCourseController: Checking if instructor has created a survey for the course
2020-07-16 12:29:13.688 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Getting survey id based on course id
2020-07-16 12:29:13.688 [Test worker] INFO  C.G.C.InstructorCourseController: Checking if instructor has published the survey for the course
2020-07-16 12:29:13.689 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checking if the survey is published for the course from the database
2020-07-16 12:29:13.742 [Test worker] INFO  C.G.Course.CourseControllerTest: Starting CourseControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:13.743 [Test worker] INFO  C.G.Course.CourseControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:14.184 [Test worker] INFO  C.G.Course.CourseControllerTest: Started CourseControllerTest in 0.452 seconds (JVM running for 6.24)
2020-07-16 12:29:14.212 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:29:14.212 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.213 [Test worker] WARN  C.G.Course.CourseController: Course is not added successfully
2020-07-16 12:29:14.236 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:29:14.236 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.236 [Test worker] WARN  C.G.Course.CourseController: Course is not added successfully
2020-07-16 12:29:14.257 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.266 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.270 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.286 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.286 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checks of the survey is published for a course
2020-07-16 12:29:14.295 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.296 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checks of the survey is published for a course
2020-07-16 12:29:14.303 [Test worker] INFO  C.G.Course.CourseController: Fetch TA for a course using course Id
2020-07-16 12:29:14.303 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:29:14.328 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch all the courses details
2020-07-16 12:29:14.328 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.337 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:29:14.337 [Test worker] WARN  C.G.Course.CourseController: TA is not successfully added to the course
2020-07-16 12:29:14.337 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:29:14.344 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:29:14.345 [Test worker] WARN  C.G.Course.CourseController: TA is not successfully added to the course
2020-07-16 12:29:14.345 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:29:14.354 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:29:14.354 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:14.354 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.363 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:29:14.363 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:14.364 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:29:14.364 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.364 [Test worker] INFO  C.G.Course.CourseController: User is a Guest User
2020-07-16 12:29:14.364 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch all courses details for a guest user
2020-07-16 12:29:14.364 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.373 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:29:14.373 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:14.373 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:29:14.374 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.374 [Test worker] INFO  C.G.Course.CourseController: User is a Student
2020-07-16 12:29:14.374 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch enrolled courses for a student
2020-07-16 12:29:14.374 [Test worker] INFO  C.G.Question.Question: Get the courses enrolled by a student using student's email Id
2020-07-16 12:29:14.381 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:29:14.381 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:14.381 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:29:14.382 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.382 [Test worker] INFO  C.G.Course.CourseController: User is a TA
2020-07-16 12:29:14.382 [Test worker] INFO  C.G.Course.CourseController: Function call to get TA courses
2020-07-16 12:29:14.382 [Test worker] INFO  C.G.Question.Question: Get the courses for a TA using email Id
2020-07-16 12:29:14.383 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch student courses
2020-07-16 12:29:14.383 [Test worker] INFO  C.G.Question.Question: Get the courses enrolled by a student using student's email Id
2020-07-16 12:29:14.390 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:29:14.390 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:14.390 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:29:14.390 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:14.391 [Test worker] INFO  C.G.Course.CourseController: User is an Instructor
2020-07-16 12:29:14.391 [Test worker] INFO  C.G.Question.Question: Function call to get instructors for a course using email Id
2020-07-16 12:29:14.405 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:29:14.405 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.405 [Test worker] INFO  C.G.Course.CourseController: Course is deleted successfully
2020-07-16 12:29:14.410 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:29:14.410 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.410 [Test worker] INFO  C.G.Course.CourseController: Course is not deleted successfully
2020-07-16 12:29:14.415 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:29:14.415 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.415 [Test worker] INFO  C.G.Course.CourseController: Course is deleted successfully
2020-07-16 12:29:14.419 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:29:14.419 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.420 [Test worker] INFO  C.G.Course.CourseController: Course is not deleted successfully
2020-07-16 12:29:14.453 [Test worker] INFO  C.G.Course.GuestControllerTest: Starting GuestControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:14.453 [Test worker] INFO  C.G.Course.GuestControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:14.873 [Test worker] INFO  C.G.Course.GuestControllerTest: Started GuestControllerTest in 0.436 seconds (JVM running for 6.928)
2020-07-16 12:29:14.878 [Test worker] INFO  C.G.Q.QuestionManagerRepository: Function call to fetch all course details for a Guest user
2020-07-16 12:29:14.878 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:14.922 [Test worker] INFO  C.G.Course.AdminControllerTest: Starting AdminControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:14.923 [Test worker] INFO  C.G.Course.AdminControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:15.321 [Test worker] INFO  C.G.Course.AdminControllerTest: Started AdminControllerTest in 0.41 seconds (JVM running for 7.376)
2020-07-16 12:29:15.326 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching course details by using course Id
2020-07-16 12:29:15.326 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:29:15.326 [Test worker] INFO  C.G.Q.QuestionAdminController: Assign/Add instructor to a course
2020-07-16 12:29:15.326 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:29:15.326 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetch instructor for a course
2020-07-16 12:29:15.326 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:29:15.331 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching course details by using course Id
2020-07-16 12:29:15.331 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:29:15.331 [Test worker] INFO  C.G.Q.QuestionAdminController: Assign/Add instructor to a course
2020-07-16 12:29:15.331 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:29:15.332 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetch instructor for a course
2020-07-16 12:29:15.332 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:29:15.337 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching course details using courseId from the Database
2020-07-16 12:29:15.337 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:29:15.337 [Test worker] INFO  C.G.Question.Question: The function call return the users that are not enrolled as an instructor for a course
2020-07-16 12:29:15.338 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching instructors list for a course using courseId
2020-07-16 12:29:15.338 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:29:15.356 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching all course details from the Database
2020-07-16 12:29:15.357 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:15.382 [Test worker] INFO  C.G.Security.LoginControllerTest: Starting LoginControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:15.382 [Test worker] INFO  C.G.Security.LoginControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:15.754 [Test worker] INFO  C.G.Security.LoginControllerTest: Started LoginControllerTest in 0.385 seconds (JVM running for 7.81)
2020-07-16 12:29:15.799 [Test worker] INFO  C.G.S.UserRegistrationControllerTest: Starting UserRegistrationControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:15.800 [Test worker] INFO  C.G.S.UserRegistrationControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:16.168 [Test worker] INFO  C.G.S.UserRegistrationControllerTest: Started UserRegistrationControllerTest in 0.381 seconds (JVM running for 8.224)
2020-07-16 12:29:16.174 [Test worker] INFO  C.G.S.UserRegistrationController: Fetching the password policies of the system
2020-07-16 12:29:16.174 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to fetch all the password security policies from database
2020-07-16 12:29:16.201 [Test worker] INFO  C.G.Mail.MailManager: smtp connection for mail has been setup
2020-07-16 12:29:16.201 [Test worker] INFO  C.G.Mail.MailManager: smtp connection for mail has been setup
2020-07-16 12:29:16.201 [Test worker] INFO  C.G.Mail.MailManager: smtp connection for mail has been setup
2020-07-16 12:29:16.231 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:16.231 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:29:16.234 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:29:16.234 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:29:16.234 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:16.234 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:16.234 [Test worker] INFO  C.GroupFormationTool.User.User: Calling the user repository function to save the new user to Database
2020-07-16 12:29:16.235 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:29:16.235 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:29:16.235 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:16.235 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:16.235 [Test worker] ERROR C.G.Password.Policy: Minimum password length security policy is violated
2020-07-16 12:29:16.235 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created due to violation of password security policy
2020-07-16 12:29:16.235 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:29:16.236 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:29:16.236 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:16.236 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:16.236 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created due to mismatch of confirm password field
2020-07-16 12:29:16.236 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:29:16.236 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:29:16.236 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:16.237 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:16.237 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created as the user with same details already exists
2020-07-16 12:29:16.237 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:29:16.237 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:29:16.237 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created due to some invalid details
2020-07-16 12:29:16.237 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:16.237 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:16.238 [Test worker] INFO  C.GroupFormationTool.User.User: Calling the user repository function to save the new user to Database
2020-07-16 12:29:16.282 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:29:16.283 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:29:16.286 [Test worker] INFO  C.G.Question.Question: Calling the deleteQuestion repository function to delete the question from the Database
2020-07-16 12:29:16.290 [Test worker] INFO  C.G.Question.Question: Calling the getSortedQuestionListForInstructor repository function to fetch the question bank in a sorted order from the Database
2020-07-16 12:29:16.290 [Test worker] INFO  C.G.Question.Question: Calling the getSortedQuestionListForInstructor repository function to fetch the question bank in a sorted order from the Database
2020-07-16 12:29:16.293 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionById repository function to fetch a question from the Database
2020-07-16 12:29:16.294 [Test worker] INFO  C.G.Question.Question: Calling the getOptionsForTheQuestion repository function to fetch the options of a multiple choice question from the Database
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:29:16.308 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:29:16.309 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:29:16.309 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:29:16.309 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:29:16.309 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
